timestamp,value,label,smoothed_value
1765170505.671851,1023.0,REST,1023.0
1765170505.672159,1023.0,REST,1023.0
1765170505.672520,1023.0,REST,1023.0
1765170505.672647,1023.0,REST,1023.0
1765170505.672758,1023.0,REST,1023.0
1765170505.672862,1023.0,REST,1023.0
1765170505.672966,1023.0,REST,1023.0
1765170505.673069,1023.0,REST,1023.0
1765170505.673170,1023.0,REST,1023.0
1765170505.673272,1023.0,REST,1023.0
1765170505.673372,1023.0,REST,1023.0
1765170505.673472,1023.0,REST,1023.0
1765170505.673573,1023.0,REST,1023.0
1765170505.721711,1023.0,REST,1023.0
1765170505.721899,1023.0,REST,1023.0
1765170505.723614,1023.0,REST,1023.0
1765170505.723938,1023.0,REST,1023.0
1765170505.724157,1023.0,REST,1023.0
1765170505.724418,1023.0,REST,1023.0
1765170505.724521,1023.0,REST,1023.0
1765170505.724616,1023.0,REST,1023.0
1765170505.724715,1023.0,REST,1023.0
1765170505.724818,1023.0,REST,1023.0
1765170505.724918,1023.0,REST,1023.0
1765170505.725008,1023.0,REST,1023.0
1765170505.725096,1008.0,REST,1020.75
1765170505.725173,913.0,REST,1004.5874999999999
1765170505.725252,793.0,REST,972.8493749999998
1765170505.725329,780.0,REST,943.9219687499998
1765170505.725406,860.0,REST,931.3336734374998
1765170505.725494,955.0,REST,934.8836224218747
1765170505.725594,1023.0,REST,948.1010790585935
1765170505.725693,1016.0,REST,958.2859171998044
1765170505.725831,932.0,REST,954.3430296198337
1765170505.725948,794.0,REST,930.2915751768587
1765170505.726052,632.0,REST,885.5478389003298
1765170505.726162,510.0,REST,829.2156630652803
1765170505.726255,530.0,REST,784.3333136054882
1765170505.726373,635.0,REST,761.933316564665
1765170505.726515,753.0,REST,760.5933190799653
1765170505.726647,870.0,REST,777.0043212179705
1765170505.726821,859.0,REST,789.303673035275
1765170505.726972,732.0,REST,780.7081220799837
1765170505.727130,564.0,REST,748.2019037679861
1765170505.727287,399.0,REST,695.8216182027882
1765170505.727422,285.0,REST,634.1983754723699
1765170505.727569,318.0,REST,586.7686191515145
1765170505.727755,433.0,REST,563.7033262787874
1765170505.727885,562.0,REST,563.4478273369692
1765170505.728005,668.0,REST,579.1306532364239
1765170505.728117,660.0,REST,591.2610552509602
1765170505.728230,554.0,REST,585.6718969633162
1765170505.728342,411.0,REST,559.4711124188187
1765170505.728454,268.0,REST,515.750445555996
1765170505.728565,179.0,REST,465.2378787225966
1765170505.728686,215.0,REST,427.7021969142071
1765170505.728798,312.0,REST,410.346867377076
1765170505.728990,438.0,REST,414.4948372705146
1765170505.729107,560.0,REST,436.32061167993743
1765170505.729219,538.0,REST,451.5725199279468
1765170505.729341,420.0,REST,446.8366419387548
1765170505.729451,275.0,REST,421.06114564794154
1765170505.729562,119.0,REST,375.7519738007503
1765170505.729656,42.0,REST,325.68917773063777
1765170505.729751,83.0,REST,289.2858010710421
1765170505.729888,198.0,REST,275.5929309103858
1765170505.730066,327.0,REST,283.30399127382793
1765170505.730211,427.0,REST,304.8583925827537
1765170505.730350,396.0,REST,318.52963369534064
1765170505.730484,283.0,REST,313.2001886410395
1765170505.730618,139.0,REST,287.0701603448836
1765170505.730741,1.0,REST,244.15963629315107
1765170505.730838,1.0,REST,207.6856908491784
1765170505.730953,25.0,REST,180.28283722180163
1765170505.731088,119.0,REST,171.09041163853138
1765170505.731223,237.0,REST,180.97684989275166
1765170505.731358,326.0,REST,202.7303224088389
1765170505.731493,289.0,REST,215.67077404751305
1765170505.731629,169.0,REST,208.67015794038608
1765170505.731744,27.0,REST,181.41963424932817
1765170505.731931,0.0,REST,154.20668911192894
1765170505.732027,1.0,REST,131.2256857451396
1765170505.732162,11.0,REST,113.19183288336866
1765170505.741673,82.0,REST,108.51305795086336
1765170505.741931,186.0,REST,120.13609925823386
1765170505.742148,255.0,REST,140.36568436949878
1765170505.742436,193.0,REST,148.26083171407396
1765170505.742733,69.0,REST,136.37170695696287
1765170505.743110,0.0,REST,115.91595091341843
1765170505.743377,0.0,REST,98.52855827640566
1765170505.743704,0.0,REST,83.7492745349448
1765170505.743833,0.0,REST,71.18688335470308
1765170505.743945,47.0,REST,67.55885085149762
1765170505.744080,144.0,REST,79.02502322377298
1765170505.744277,202.0,REST,97.47126974020702
1765170505.744447,135.0,REST,103.10057927917596
1765170505.744627,4.0,REST,88.23549238729956
1765170505.744841,0.0,REST,75.00016852920463
1765170505.744983,0.0,REST,63.750143249823935
1765170505.745111,1.0,REST,54.337621762350345
1765170505.745237,0.0,REST,46.18697849799779
1765170505.745386,16.0,REST,41.658931723298124
1765170505.745556,101.0,REST,50.560091964803405
1765170505.745729,133.0,REST,62.92607817008289
1765170505.745893,56.0,REST,61.887166444570454
1765170505.746063,0.0,REST,52.604091477884886
1765170505.746213,1.0,REST,44.86347775620215
1765170505.746604,0.0,REST,38.133956092771825
1765170505.747399,0.0,REST,32.41386267885605
1765170505.747826,0.0,REST,27.551783277027642
1765170505.748292,39.0,REST,29.269015785473492
1765170505.748456,146.0,REST,46.77866341765247
1765170505.749086,174.0,REST,65.8618639050046
1765170505.749290,100.0,REST,70.9825843192539
1765170505.751915,1.0,REST,60.48519667136581
1765170505.752103,0.0,REST,51.41241717066094
1765170505.752234,0.0,REST,43.700554595061796
1765170505.752378,1.0,REST,37.29547140580252
1765170505.752560,10.0,REST,33.20115069493214
1765170505.752707,80.0,REST,40.22097809069231
1765170505.755983,189.0,REST,62.537831377088466
1765170505.756184,201.0,REST,83.30715667052519
1765170505.756616,110.0,REST,87.31108316994641
1765170505.756805,0.0,REST,74.21442069445445
1765170505.756983,0.0,REST,63.082257590286275
1765170505.757139,0.0,REST,53.61991895174333
1765170505.757302,0.0,REST,45.57693110898183
1765170505.757455,5.0,REST,39.490391442634554
1765170505.757693,78.0,REST,45.26683272623937
