timestamp,value,label,smoothed_value
1763817881.773638,500.0,REST,500.0
1763817881.773896,531.0,REST,504.65
1763817881.774003,550.0,REST,511.4525
1763817881.774098,554.0,REST,517.834625
1763817881.774204,562.0,REST,524.45943125
1763817881.786655,553.0,REST,528.7405165624999
1763817881.786896,495.0,REST,523.6794390781249
1763817881.787037,564.0,REST,529.7275232164062
1763817881.787154,576.0,REST,536.6683947339453
1763817881.787267,562.0,REST,540.4681355238534
1763817881.787379,564.0,REST,543.9979151952754
1763817881.807203,559.0,REST,546.248227915984
1763817882.013092,560.0,REST,548.3109937285864
1763817882.206607,554.0,REST,549.1643446692984
1763817882.406657,548.0,REST,548.9896929689037
1763817882.614188,543.0,REST,548.0912390235682
1763817882.806615,540.0,REST,546.8775531700329
1763817883.006635,546.0,REST,546.7459201945279
1763817883.206665,545.0,REST,546.4840321653487
1763817883.407126,539.0,REST,545.3614273405464
1763817883.618781,540.0,REST,544.5572132394643
1763817883.814068,534.0,REST,542.9736312535447
1763817884.006651,534.0,REST,541.627586565513
1763817884.215558,534.0,REST,540.483448580686
1763817884.406658,530.0,REST,538.910931293583
1763817884.606685,529.0,REST,537.4242915995455
1763817884.806701,525.0,REST,535.5606478596137
1763817885.008954,474.0,REST,526.3265506806716
1763817885.206707,525.0,REST,526.1275680785709
1763817885.406712,513.0,REST,524.1584328667852
1763817885.607159,488.0,REST,518.7346679367674
1763817885.806723,480.0,REST,512.9244677462523
1763817886.006744,436.0,REST,501.3857975843144
1763817886.206771,450.0,REST,493.67792794666724
1763817886.406707,503.0,REST,495.07623875466714
1763817886.606740,508.0,REST,497.01480294146705
1763817886.806752,498.0,REST,497.16258250024697
1763817887.006747,517.0,REST,500.1381951252099
1763817887.206753,515.0,REST,502.3674658564284
1763817887.406769,424.0,REST,490.6123459779641
1763817887.606769,551.0,REST,499.67049408126945
1763817887.807091,536.0,REST,505.119919969079
1763817888.006780,509.0,REST,505.70193197371714
1763817888.206767,542.0,REST,511.14664217765954
1763817888.407207,523.0,REST,512.9246458510106
1763817888.606787,520.0,REST,513.985948973359
1763817888.806793,534.0,REST,516.9880566273551
1763817889.006802,527.0,REST,518.4898481332518
1763817889.206807,531.0,REST,520.3663709132641
1763817889.406812,533.0,REST,522.2614152762744
1763817889.607121,524.0,REST,522.5222029848333
1763817889.807212,532.0,REST,523.9438725371083
1763817890.006823,542.0,REST,526.652291656542
1763817890.206830,513.0,REST,524.6044479080607
1763817890.406833,492.0,REST,519.7137807218515
1763817890.606841,515.0,REST,519.0067136135738
1763817890.806967,464.0,REST,510.75570657153764
1763817891.006849,539.0,REST,514.992350585807
1763817891.207200,608.0,REST,528.943497997936
1763817891.406914,564.0,REST,534.2019732982455
1763817891.607425,526.0,REST,532.9716773035087
1763817891.806885,491.0,REST,526.6759257079824
1763817892.007324,255.0,REST,485.92453685178504
1763817892.207189,0.0,REST,413.0358563240173
1763817892.406860,0.0,REST,351.08047787541466
1763817892.607826,0.0,REST,298.41840619410243
1763817892.806876,0.0,REST,253.65564526498707
1763817893.006873,0.0,REST,215.60729847523902
1763817893.207553,0.0,REST,183.26620370395315
1763817893.407078,0.0,REST,155.7762731483602
1763817893.607220,0.0,REST,132.40983217610616
1763817893.806918,603.0,REST,202.99835734969025
1763817894.006922,561.0,REST,256.6986037472367
1763817894.206922,316.0,REST,265.5938131851512
1763817894.406928,268.0,REST,265.9547412073785
1763817894.607217,289.0,REST,269.41153002627175
1763817894.806998,417.0,REST,291.549800522331
1763817895.007266,410.0,REST,309.31733044398135
1763817895.206951,502.0,REST,338.21973087738417
1763817895.406950,534.0,REST,367.5867712457765
1763817895.607316,579.0,REST,399.29875555891
1763817895.809635,580.0,REST,426.4039422250735
1763817896.007290,579.0,REST,449.29335089131246
1763817896.206980,573.0,REST,467.8493482576156
1763817896.406987,467.0,REST,467.72194601897326
1763817896.606997,639.0,REST,493.4136541161273
1763817896.807476,0.0,REST,419.4016059987082
1763817897.006997,261.0,REST,395.64136509890193
1763817897.206969,539.0,REST,417.14516033406665
1763817897.407001,616.0,REST,446.97338628395664
1763817897.607005,626.0,REST,473.8273783413631
1763817897.807301,627.0,REST,496.80327159015866
1763817898.007354,647.0,REST,519.3327808516349
1763817898.207017,660.0,REST,540.4328637238896
1763817898.407021,720.0,REST,567.3679341653061
1763817898.607352,795.0,REST,601.5127440405101
1763817898.807034,798.0,REST,630.9858324344336
1763817899.007355,759.0,REST,650.1879575692686
