timestamp,value,label,smoothed_value
1763806759.268310,529.0,REST,529.0
1763806759.268726,516.0,REST,527.05
1763806759.281784,515.0,REST,525.2425
1763806759.282028,509.0,REST,522.806125
1763806759.282150,518.0,REST,522.0852062499999
1763806759.282269,502.0,REST,519.0724253125
1763806759.282383,498.0,REST,515.911561515625
1763806759.282496,506.0,REST,514.4248272882812
1763806759.282623,523.0,REST,515.7111031950391
1763806759.282762,512.0,REST,515.1544377157832
1763806759.282903,517.0,REST,515.4312720584156
1763806759.450326,530.0,REST,517.6165812496533
1763806759.650941,501.0,REST,515.1240940622054
1763806759.846100,501.0,REST,513.0054799528746
1763806760.046128,539.0,REST,516.9046579599434
1763806760.246100,534.0,REST,519.4689592659519
1763806760.458100,529.0,REST,520.8986153760591
1763806760.656613,517.0,REST,520.3138230696502
1763806760.849165,521.0,REST,520.4167496092026
1763806761.046107,519.0,REST,520.2042371678222
1763806761.246119,518.0,REST,519.8736015926488
1763806761.446146,526.0,REST,520.7925613537515
1763806761.646117,537.0,REST,523.2236771506887
1763806761.857392,536.0,REST,525.1401255780854
1763806762.046152,532.0,REST,526.1691067413726
1763806762.246132,530.0,REST,526.7437407301668
1763806762.446132,535.0,REST,527.9821796206418
1763806762.646173,532.0,REST,528.5848526775454
1763806762.846183,535.0,REST,529.5471247759135
1763806763.055751,511.0,REST,526.7650560595265
1763806763.246502,541.0,REST,528.9002976505975
1763806763.446190,545.0,REST,531.3152530030079
1763806763.646210,527.0,REST,530.6679650525567
1763806763.846547,545.0,REST,532.8177702946732
1763806764.046207,517.0,REST,530.4451047504722
1763806764.253381,519.0,REST,528.7283390379014
1763806764.446548,510.0,REST,525.9190881822162
1763806764.646201,528.0,REST,526.2312249548838
1763806764.846227,506.0,REST,523.1965412116513
1763806765.046235,513.0,REST,521.6670600299036
1763806765.246235,470.0,REST,513.9170010254181
1763806765.451273,502.0,REST,512.1294508716054
1763806765.646547,505.0,REST,511.0600332408646
1763806765.846253,454.0,REST,502.50102825473493
1763806766.046244,471.0,REST,497.77587401652465
1763806766.246257,476.0,REST,494.50949291404595
1763806766.446265,503.0,REST,495.78306897693903
1763806766.653357,529.0,REST,500.7656086303982
1763806766.847353,530.0,REST,505.15076733583845
1763806767.046281,537.0,REST,509.9281522354627
1763806767.246299,524.0,REST,512.0389294001433
1763806767.446283,518.0,REST,512.9330899901217
1763806767.646297,521.0,REST,514.1431264916034
1763806767.857066,514.0,REST,514.1216575178629
1763806768.046627,509.0,REST,513.3534088901835
1763806768.246305,523.0,REST,514.800397556656
1763806768.446310,477.0,REST,509.1303379231576
1763806768.646321,517.0,REST,510.31078723468397
1763806768.846607,508.0,REST,509.96416914948134
1763806769.056264,540.0,REST,514.4695437770591
1763806769.248641,519.0,REST,515.1491122105002
1763806769.446353,529.0,REST,517.2267453789252
1763806769.646353,541.0,REST,520.7927335720864
1763806769.846347,543.0,REST,524.1238235362734
1763806770.046350,541.0,REST,526.6552500058324
1763806770.249216,515.0,REST,524.9069625049575
1763806770.446365,508.0,REST,522.3709181292139
1763806770.646361,498.0,REST,518.7152804098318
1763806770.846991,502.0,REST,516.207988348357
1763806771.046454,528.0,REST,517.9767900961035
1763806771.246933,531.0,REST,519.930271581688
1763806771.448557,522.0,REST,520.2407308444348
1763806771.646549,523.0,REST,520.6546212177695
1763806771.846394,519.0,REST,520.4064280351041
1763806772.046404,521.0,REST,520.4954638298385
1763806772.246715,514.0,REST,519.5211442553627
1763806772.446440,519.0,REST,519.4429726170583
1763806772.650641,521.0,REST,519.6765267244996
1763806772.846916,511.0,REST,518.3750477158246
1763806773.046419,495.0,REST,514.8687905584509
1763806773.246424,519.0,REST,515.4884719746832
1763806773.446441,1023.0,REST,591.6152011784807
1763806773.658816,1023.0,REST,656.3229210017086
1763806773.846420,1023.0,REST,711.3244828514523
1763806774.046454,1023.0,REST,758.0758104237345
1763806774.246465,1023.0,REST,797.8144388601743
1763806774.447004,746.0,REST,790.042273031148
1763806774.646463,404.0,REST,732.1359320764758
1763806774.856033,358.0,REST,676.0155422650045
1763806775.046827,355.0,REST,627.8632109252537
1763806775.246474,386.0,REST,591.5837292864657
1763806775.446459,405.0,REST,563.5961698934958
1763806775.646493,399.0,REST,538.9067444094715
1763806775.846488,297.0,REST,502.6207327480507
1763806776.056376,342.0,REST,478.52762283584315
1763806776.247117,378.0,REST,463.44847941046663
1763806776.446523,403.0,REST,454.38120749889663
1763806776.646569,427.0,REST,450.27402637406215
1763806776.846889,452.0,REST,450.5329224179528
1763806777.046520,468.0,REST,453.1529840552599
1763806777.246527,463.0,REST,454.63003644697085
1763806777.452570,477.0,REST,457.9855309799252
1763806777.646534,500.0,REST,464.2877013329364
1763806777.846667,486.0,REST,467.54454613299595
1763806778.046540,456.0,REST,465.8128642130465
1763806778.246855,460.0,REST,464.94093458108955
1763806778.446687,484.0,REST,467.79979439392605
1763806778.653409,490.0,REST,471.12982523483714
1763806778.846574,497.0,REST,475.01035144961156
1763806779.046880,489.0,REST,477.1087987321698
1763806779.246950,524.0,REST,484.14247892234437
1763806779.446566,26.0,REST,415.4211070839927
1763806779.646652,0.0,REST,353.1079410213938
1763806779.852785,0.0,REST,300.1417498681847
1763806780.046569,0.0,REST,255.120487387957
1763806780.246647,238.0,REST,252.55241427976344
1763806780.446604,313.0,REST,261.6195521377989
1763806780.646606,351.0,REST,275.0266193171291
1763806780.846853,353.0,REST,286.72262641955973
1763806781.047322,417.0,REST,306.26423245662573
1763806781.246651,474.0,REST,331.42459758813186
1763806781.446615,507.0,REST,357.7609079499121
1763806781.646606,450.0,REST,371.5967717574253
1763806781.846638,494.0,REST,389.9572559938115
1763806782.057332,510.0,REST,407.9636675947398
1763806782.247130,508.0,REST,422.96911745552876
1763806782.446645,516.0,REST,436.9237498371994
1763806782.646657,461.0,REST,440.5351873616195
1763806782.846982,294.0,REST,418.55490925737655
1763806783.046973,826.0,REST,479.67167286877003
1763806783.257214,854.0,REST,535.8209219384545
1763806783.446657,464.0,REST,525.0477836476863
1763806783.646631,501.0,REST,521.4406161005334
1763806783.860323,509.0,REST,519.5745236854533
1763806784.046658,547.0,REST,523.6883451326353
1763806784.246682,528.0,REST,524.3350933627399
1763806784.457299,553.0,REST,528.634829358329
1763806784.647997,541.0,REST,530.4896049545796
1763806784.846705,541.0,REST,532.0661642113927
1763806843.455218,529.0,REST,529.0
1763806843.455669,542.0,REST,530.9499999999999
1763806843.464116,506.0,REST,527.2075
1763806843.468591,523.0,REST,526.576375
1763806843.468833,529.0,REST,526.93991875
1763806843.468947,542.0,REST,529.1989309374999
1763806843.469066,521.0,REST,527.9690912968749
1763806843.469151,512.0,REST,525.5737276023436
1763806843.469231,529.0,REST,526.087668461992
1763806843.469311,486.0,REST,520.0745181926933
1763806843.469390,494.0,REST,516.1633404637893
1763806843.650166,512.0,REST,515.5388393942209
1763806843.848078,512.0,REST,515.0080134850878
1763806844.048090,521.0,REST,515.9068114623246
1763806844.257159,543.0,REST,519.970789742976
1763806844.451420,534.0,REST,522.0751712815296
1763806844.648165,522.0,REST,522.0638955893002
1763806844.848132,524.0,REST,522.3543112509051
1763806845.048128,522.0,REST,522.3011645632693
1763806845.248137,532.0,REST,523.7559898787788
1763806845.448121,491.0,REST,518.842591396962
1763806845.655620,456.0,REST,509.4162026874177
1763806845.848180,479.0,REST,504.853772284305
1763806846.048150,449.0,REST,496.4757064416592
1763806846.248159,467.0,REST,492.05435047541033
1763806846.448163,487.0,REST,491.2961979040988
1763806846.656365,495.0,REST,491.851768218484
1763806846.848179,491.0,REST,491.72400298571137
1763806847.048232,502.0,REST,493.26540253785464
1763806847.248246,500.0,REST,494.27559215717645
1763806847.448187,477.0,REST,491.6842533336
1763806847.654255,1023.0,REST,571.3816153335599
1763806847.848216,1023.0,REST,639.1243730335259
1763806848.048217,1023.0,REST,696.705717078497
1763806848.248206,345.0,REST,643.9498595167224
1763806848.448206,217.0,REST,579.907380589214
1763806848.655331,252.0,REST,530.7212735008319
1763806848.848499,281.0,REST,493.26308247570705
1763806849.048745,335.0,REST,469.523620104351
1763806849.248228,364.0,REST,453.6950770886983
1763806849.448237,379.0,REST,442.4908155253936
1763806849.653648,391.0,REST,434.7671931965845
1763806849.848246,404.0,REST,430.1521142170968
1763806850.048238,404.0,REST,426.2292970845323
1763806850.248631,400.0,REST,422.2949025218524
1763806850.448262,414.0,REST,421.0506671435745
1763806850.652581,421.0,REST,421.0430670720383
1763806850.848262,435.0,REST,423.13660701123257
1763806851.048278,439.0,REST,425.5161159595476
1763806851.248649,462.0,REST,430.9886985656155
1763806851.448288,413.0,REST,428.2903937807732
1763806851.659235,403.0,REST,424.49683471365717
1763806851.850729,430.0,REST,425.3223095066086
1763806852.048296,458.0,REST,430.2239630806173
1763806852.248949,462.0,REST,434.9903686185247
1763806852.448304,485.0,REST,442.491813325746
1763806852.648308,487.0,REST,449.1680413268841
1763806852.851345,486.0,REST,454.6928351278515
1763806853.048390,476.0,REST,457.88890985867374
1763806853.248325,442.0,REST,455.50557337987266
1763806853.448349,483.0,REST,459.6297373728917
1763806853.659883,488.0,REST,463.88527676695793
1763806853.849483,459.0,REST,463.1524852519142
1763806854.048342,489.0,REST,467.029612464127
1763806854.248360,496.0,REST,471.37517059450795
1763806854.448403,499.0,REST,475.51889500533173
1763806854.659535,503.0,REST,479.64106075453196
1763806854.849808,475.0,REST,478.94490164135215
1763806855.048354,493.0,REST,481.0531663951493
1763806855.248413,512.0,REST,485.6951914358769
1763806855.448673,511.0,REST,489.4909127204953
1763806855.660400,533.0,REST,496.017275812421
1763806855.849793,562.0,REST,505.9146844405579
1763806856.048389,510.0,REST,506.5274817744742
1763806856.248403,543.0,REST,511.99835950830305
1763806856.448402,536.0,REST,515.5986055820576
1763806856.660471,549.0,REST,520.608814744749
1763806856.848761,537.0,REST,523.0674925330367
1763806857.048425,491.0,REST,518.2573686530811
1763806857.248421,489.0,REST,513.868763355119
