MAV,RMS,VAR,WL,ZC,SSC,WAMP,IEMG,label,start_time,end_time
10.911112000000003,12.3455262002071,152.41201715999998,1289.1499999999996,39,40,96,1091.1112000000003,REST,1763840227.182608,1763840227.285952
10.774434000000001,12.29146728873327,151.08016811,1315.5900000000001,39,43,96,1077.4434,REST,1763840227.234901,1763840227.344726
10.740699999999999,12.300245221539283,151.29603250999997,1302.26,39,43,94,1074.07,REST,1763840227.246945,1763840227.347306
10.927,12.559462888197091,157.74010804,1361.1199999999997,40,44,93,1092.7,REST,1763840227.267447,1763840227.350063
10.990800000000004,12.60484966193568,158.882235,1334.78,39,44,92,1099.0800000000004,REST,1763840227.288925,1763840227.398043
11.17485,12.826423848836432,164.51714875000002,1373.7900000000002,40,42,91,1117.485,REST,1763840227.344832,1763840227.400603
11.12646,12.861086736353192,165.40755204,1383.8,39,46,94,1112.646,REST,1763840227.347396,1763840227.403434
11.033256,12.7453560734881,162.44410144,1410.33,40,48,96,1103.3256,REST,1763840227.350185,1763840227.40692
10.881326,12.63989210832118,159.76687251000004,1415.35,39,54,98,1088.1326,REST,1763840227.398142,1763840227.420934
10.682040000000002,12.385847179745115,153.40921036,1420.56,40,58,99,1068.2040000000002,REST,1763840227.400712,1763840227.439465
10.93656,12.586020688049103,158.40791676,1409.8400000000001,40,59,99,1093.656,REST,1763840227.403626,1763840227.44679
10.995628,12.584973215704514,158.38155084,1415.7200000000003,40,58,99,1099.5628,REST,1763840227.407026,1763840227.449597
11.126952000000001,12.649117196073409,160.00016584000002,1385.26,40,57,98,1112.6952,REST,1763840227.42207,1763840227.452562
11.245792000000002,12.694203804886701,161.14281024,1381.6799999999998,40,55,97,1124.5792000000001,REST,1763840227.439639,1763840227.455206
11.376402,12.767769146957507,163.01592899000002,1365.41,40,51,97,1137.6402,REST,1763840227.44689,1763840227.503981
11.632999999999997,12.90620714850029,166.57018295999998,1348.7300000000002,40,44,96,1163.2999999999997,REST,1763840227.449707,1763840227.520981
11.9475,13.18787801391869,173.92012650999996,1355.65,40,41,96,1194.75,REST,1763840227.45268,1763840227.536168
12.3917,13.58575550898808,184.57275275,1372.37,40,36,96,1239.17,REST,1763840227.455314,1763840227.538834
12.472900000000003,13.667115237313249,186.79003891,1365.9,40,35,95,1247.2900000000002,REST,1763840227.504097,1763840227.541548
12.446100000000001,13.735041921668822,188.65137659,1366.0499999999997,40,35,95,1244.6100000000001,REST,1763840227.521185,1763840227.544648
12.049306,13.366183333697021,178.65485691,1321.91,40,36,96,1204.9306,REST,1763840227.536313,1763840227.549395
11.463376,12.856116670285784,165.27973584000003,1270.5299999999997,40,37,97,1146.3376,REST,1763840227.538943,1763840227.554119
10.893280000000003,12.296456471683214,151.20284175999998,1218.7100000000003,40,36,96,1089.3280000000002,REST,1763840227.54168,1763840227.558223
10.555576,11.945927578467904,142.70518571000002,1197.58,40,36,96,1055.5576,REST,1763840227.544921,1763840227.560949
10.351788,11.763222284306286,138.37339851000002,1189.3700000000001,40,36,96,1035.1788000000001,REST,1763840227.549595,1763840227.563629
10.398152,11.882183880078612,141.18629376,1225.8999999999999,40,35,95,1039.8152,REST,1763840227.554298,1763840227.604568
10.329679999999998,11.798624045201203,139.20752936,1223.7900000000002,40,36,96,1032.9679999999998,REST,1763840227.558349,1763840227.614473
10.334576000000002,11.83880624852016,140.15733339,1249.6399999999999,40,38,98,1033.4576000000002,REST,1763840227.561055,1763840227.617035
10.344899999999997,11.812920415798965,139.54508875,1248.7299999999996,40,38,97,1034.4899999999998,REST,1763840227.563743,1763840227.619523
10.456648,11.962400911188357,143.09903556000003,1287.26,40,39,98,1045.6648,REST,1763840227.610777,1763840227.621985
10.542071999999997,12.003510029987062,144.08425304,1286.64,40,40,97,1054.2071999999998,REST,1763840227.614585,1763840227.62447
10.479646000000002,11.996614677066193,143.91876371,1302.3399999999997,40,43,96,1047.9646000000002,REST,1763840227.617133,1763840227.627699
10.431099999999999,11.973792235962673,143.37170050999998,1300.6299999999999,40,48,96,1043.11,REST,1763840227.619632,1763840227.630185
10.2962,11.874365414623218,141.00055400000002,1305.96,40,52,96,1029.6200000000001,REST,1763840227.622092,1763840227.632652
10.219336,11.908740831422945,141.81810819000003,1307.66,40,56,96,1021.9336000000001,REST,1763840227.624578,1763840227.635253
10.261768,12.041471871826966,144.99704484,1360.49,40,56,97,1026.1768,REST,1763840227.627798,1763840227.637742
10.312628,12.108926127448298,146.62609196000002,1365.7399999999998,40,58,98,1031.2628,REST,1763840227.630295,1763840227.640252
10.630914,12.37933599632872,153.24795970999998,1394.5000000000002,40,54,97,1063.0914,REST,1763840227.632758,1763840227.642889
11.114804,12.805439280243375,163.97927516,1398.4200000000003,40,47,95,1111.4804,REST,1763840227.635361,1763840227.692185
11.76768,13.293339950516575,176.71288704000003,1418.4199999999998,40,40,93,1176.768,REST,1763840227.63784,1763840227.694871
12.46972,13.903641026364284,193.31123379000005,1429.1600000000003,40,34,92,1246.972,REST,1763840227.640361,1763840227.697423
13.014879999999998,14.379409217349647,206.76740943999997,1472.36,40,33,93,1301.4879999999998,REST,1763840227.642992,1763840227.69994
13.20412,14.549021856812232,211.67403699000002,1478.48,40,36,96,1320.412,REST,1763840227.692294,1763840227.702495
13.367719999999998,14.689952913130796,215.79471658999995,1504.19,40,37,97,1336.772,REST,1763840227.694979,1763840227.705119
13.232239999999997,14.586739721747284,212.77297571000003,1486.73,40,38,98,1323.2239999999997,REST,1763840227.697533,1763840227.707649
