timestamp,value,label,smoothed_value
1763927400.135741,715.0,REST,715.0
1763927400.136145,760.0,REST,721.75
1763927400.138177,754.0,REST,726.5875
1763927400.177307,722.0,REST,725.899375
1763927400.187737,671.0,REST,717.66446875
1763927400.188271,571.0,REST,695.6647984374999
1763927400.188447,506.0,REST,667.215078671875
1763927400.188569,532.0,REST,646.9328168710937
1763927400.188665,623.0,REST,643.3428943404297
1763927400.188759,719.0,REST,654.6914601893652
1763927400.188853,753.0,REST,669.4377411609605
1763927400.188947,746.0,REST,680.9220799868164
1763927400.189040,711.0,REST,685.4337679887939
1763927400.189133,655.0,REST,680.8687027904748
1763927400.189229,556.0,REST,662.1383973719036
1763927400.189554,507.0,REST,638.867637766118
1763927400.189653,548.0,REST,625.2374921012004
1763927400.189740,637.0,REST,627.0018682860202
1763927400.189825,729.0,REST,642.3015880431172
1763927400.189918,749.0,REST,658.3063498366497
1763927400.190000,734.0,REST,669.6603973611523
1763927400.190080,696.0,REST,673.6113377569794
1763927400.190216,633.0,REST,667.5196370934325
1763927400.190312,543.0,REST,648.8416915294176
1763927400.190401,510.0,REST,628.015437800005
1763927400.190484,559.0,REST,617.6631221300042
1763927400.190596,645.0,REST,621.7636538105036
1763927400.190686,725.0,REST,637.249105738928
1763927400.190767,740.0,REST,652.6617398780888
1763927400.190862,720.0,REST,662.7624788963755
1763927400.190947,682.0,REST,665.6481070619191
1763927400.191029,622.0,REST,659.1008910026311
1763927400.191107,536.0,REST,640.6357573522364
1763927400.191187,512.0,REST,621.3403937494008
1763927400.191267,571.0,REST,613.7893346869906
1763927400.191346,653.0,REST,619.6709344839421
1763927400.191425,727.0,REST,635.7702943113508
1763927400.191505,735.0,REST,650.6547501646481
1763927400.191598,715.0,REST,660.3065376399509
1763927400.191683,676.0,REST,662.6605569939582
1763927400.191765,610.0,REST,654.7614734448645
1763927400.191846,527.0,REST,635.5972524281348
1763927400.191956,515.0,REST,617.5076645639145
1763927400.192057,578.0,REST,611.5815148793274
1763927400.192145,659.0,REST,618.6942876474283
